Id,Sales
1,4812.838
2,5764.1416
3,7901.2827
4,12289.081
5,5209.438
6,5505.17
7,14741.88
8,7598.935
9,8064.5913
10,6803.434
11,10065.7705
12,8949.668
13,7873.763
14,6671.7544
15,8236.804
16,9775.879
17,8638.017
18,9072.051
19,7904.1694
20,9838.831
21,7805.1597
22,6255.325
23,6668.79
24,13138.414
25,12583.243
26,7647.0747
27,12019.744
28,6342.9004
29,8855.68
30,4543.0747
31,6836.3945
32,5838.6006
33,9755.862
34,10239.123
35,10842.9
36,11906.389
37,8514.948
38,6834.341
39,7689.1587
40,5160.909
41,6969.7944
42,12616.712
43,7788.576
44,5954.736
45,5873.8193
46,6542.7915
47,8964.037
48,4058.1978
49,9557.161
50,5348.7114
51,8515.915
52,8061.038
53,6793.6816
54,10148.819
55,5966.135
56,9230.368
57,11579.762
58,7762.9893
59,6446.5024
60,9122.802
61,5979.095
62,7562.9478
63,9831.965
64,13219.008
65,6992.587
66,7781.5146
67,9714.85
68,10135.586
69,11729.846
70,7653.635
71,10844.586
72,5087.8213
73,5370.4893
74,7557.9863
75,8251.311
76,12403.631
77,9603.488
78,4945.792
79,6783.5156
80,8939.499
81,8644.148
82,11726.747
83,3949.3142
84,14572.148
85,7618.8784
86,5691.1206
87,5963.9443
88,8077.786
89,7297.422
90,11452.616
91,5299.3296
92,8375.768
93,7394.0527
94,7858.975
95,8778.665
96,6336.835
97,8282.054
98,6281.8306
99,5798.0483
100,8926.583
101,9645.742
102,10864.566
103,5171.213
104,10539.633
105,5360.0903
106,10298.818
107,8587.758
108,13844.877
109,8478.675
110,6243.767
111,8301.849
112,6933.2207
113,7453.1616
114,5846.7036
115,9617.43
116,8019.3745
117,4331.13
118,9541.132
119,6745.8667
120,9062.0625
121,5192.1846
122,12326.551
123,10475.364
124,6893.3076
125,16951.0
126,8292.392
127,6937.62
128,9261.895
129,11289.636
130,5276.7227
131,5295.0903
132,8575.701
133,8280.355
134,4950.526
135,7209.607
136,8325.288
137,11048.564
138,9543.862
139,7410.305
140,9128.703
141,8128.5015
142,5324.0244
143,8320.962
144,8713.158
145,10266.15
146,9405.898
147,10244.3
148,9159.018
149,7436.127
150,10457.436
151,9808.353
152,6429.947
153,7247.0576
154,9789.717
155,8238.053
156,8693.584
157,11048.144
158,10484.27
159,9126.884
160,7174.916
161,8813.095
162,9749.277
163,7337.5396
164,8172.3613
165,4865.3613
166,7009.4614
167,13381.195
168,10212.993
169,7189.5347
170,5765.4834
171,8627.493
172,7850.1196
173,10012.657
174,6867.333
175,6689.6797
176,6525.2354
177,4726.177
178,12487.599
179,9817.684
180,8556.559
181,8212.25
182,6686.662
183,6251.305
184,7482.4717
185,8368.206
186,4728.35
187,8241.573
188,8722.171
189,10103.908
190,9494.942
191,8281.524
192,15870.046
193,6154.783
194,6520.8926
195,12455.555
196,6221.112
197,9292.607
198,4261.9614
199,9959.359
200,9722.562
201,6813.162
